id;id_bo;name;definition;update_date;creation_date
1;1db62015-0583-452c-bb5c-1be97e4e4c63;B2C Communications;Gorgeous XSS;2021-05-18;2021-05-18
2;6a64adcb-af00-477b-8cc8-e94b9ab91692;Uruguay;parse Expressway pink;2021-05-18;2021-05-18
3;d30213df-8e33-46d6-b829-7bd72e212ace;B2B Music Optimized;Handmade;2021-05-19;2021-05-19
4;d5288bb0-9e9f-44ff-9d6c-1b4345c76255;initiatives synergistic;port index;2021-05-19;2021-05-19
5;6c803ac3-1bfe-49fc-b81b-913ee6db16f4;deposit microchip;Ramp Rue;2021-05-19;2021-05-19
6;946b566c-b937-4fd2-b56c-f5a84a3102d3;Engineer;Michigan monitor;2021-05-19;2021-05-18
7;2f645a7c-2ce3-4c70-86cc-a41758a4b34f;24/7;Refined Card Tennessee;2021-05-19;2021-05-19
8;68916636-2fe0-40de-836f-aee405895d0a;Central digital Table;utilize Shoes synthesize;2021-05-19;2021-05-18
9;4fc1c679-4cfc-49e5-9434-efed00d1b19e;Seychelles Manager Communications;program Road engineer;2021-05-19;2021-05-18
10;11b8ed3b-0857-44dc-bf0d-066302f27948;EXE programming;Frozen redundant;2021-05-19;2021-05-19
