id;id_data_role;name;description;update_date;creation_date
1;cc9ebfdb-13a6-440b-ab62-7f53115d2aa1;Gorgeous budgetary withdrawal;Strategist;2021-05-19;2021-05-19
2;5cdc32ac-7c4e-4056-a4e9-0f70e5bed8c7;quantify;Internal SMTP;2021-05-19;2021-05-18
3;25537540-71c1-4c5f-b8d6-f11d4c74edb9;parse;mesh;2021-05-19;2021-05-18
4;f55ab0da-6ee7-4b04-9fec-f44713227a68;cross-platform;Berkshire parse;2021-05-19;2021-05-19
5;c41763d3-ee1b-4928-a1be-23edf2f49f9e;Greenland;network Agent;2021-05-19;2021-05-19
6;526855b4-c320-41b2-bfd4-d20e5cfd944e;executive;magnetic initiatives Kong;2021-05-19;2021-05-18
7;fc954ce9-d882-43d1-9379-9db7a30db974;iterate;Arkansas National;2021-05-19;2021-05-19
8;c6778991-687e-4ad6-a46e-0dbf97b18ce8;system;Granite archive;2021-05-19;2021-05-19
9;2c5411ca-16cb-4d98-95cd-fad2b70d2b8b;Rubber;AI;2021-05-19;2021-05-19
10;dcf4825f-75fd-4b46-b128-829216a502d5;website;XML Angola Alaska;2021-05-19;2021-05-18
