id;id_data_role;update_date;creation_date
1;52486aaf-4653-4163-b385-a0e1626fcc21;2021-05-18;2021-05-19
2;fc30688f-3964-4fa8-a6e8-923d860b64a9;2021-05-19;2021-05-19
3;bfe8c878-97bc-44fb-8fa5-f7dba978218c;2021-05-18;2021-05-19
4;a8712fe7-b2c5-40da-abb9-6110119d0c00;2021-05-19;2021-05-18
5;9ab8ca80-f68d-46ac-976f-c7ebc35993a6;2021-05-19;2021-05-19
6;e5933b22-fb4b-4cf9-b412-2e3fafc96225;2021-05-19;2021-05-18
7;79e6bc17-bddf-4946-b127-e46bbaa3f61d;2021-05-18;2021-05-19
8;9e7c7e6c-bdde-49dd-8bae-4ff0b10fe647;2021-05-19;2021-05-19
9;c8c1933c-362f-44d5-aacf-1a47d1d737ad;2021-05-18;2021-05-18
10;76996dce-41ca-4c3d-a2ff-c49f510aa9c2;2021-05-19;2021-05-19
