id;id_gloden;name;description;update_date;creation_date
1;31686684-1da0-40ec-8141-daf098a6980c;Industrial Solomon Account;Bike disintermediate;2021-05-18;2021-05-19
2;4bc340be-b3bc-49d4-930f-ab73e6892d42;Outdoors Niue online;customized Fresh;2021-05-19;2021-05-18
3;df04ec46-f25d-45cd-ac19-c4ef66c3da75;PNG Sudanese;Inverse;2021-05-18;2021-05-19
4;5b661ca3-2149-491b-91a0-b7a70e55527b;Money Soap Metical;Concrete Virginia;2021-05-19;2021-05-19
5;ac172247-807a-4ee1-8bc6-b0db3a122dbf;Account groupware;Market;2021-05-19;2021-05-18
6;3b03e633-4b25-4f19-97a0-7e0424d821fc;extensible Technician solid;haptic;2021-05-18;2021-05-19
7;b0dbc072-62c2-40e4-a7d2-213a1f9ab2b7;synthesize neural;Planner bypassing Industrial;2021-05-19;2021-05-18
8;ff57b9b2-a7ae-44ef-a03c-4b247394ad60;Dollar Virginia;primary Open-source deposit;2021-05-19;2021-05-19
9;b895d68f-275a-4837-aafc-0f8882e8661f;hacking;ADP;2021-05-18;2021-05-19
10;30d378d9-1759-4da3-ae74-cc18eedaef8e;FTP Infrastructure;Outdoors;2021-05-18;2021-05-19
